iso3,country,ccode,abbreviation,abbreviation_undp,democracy,democracy_trans,democracy_breakdowns,democracy_duration,democracy_omitteddata,democracy_femalesuffrage
PHL,PHILIPPINES,840,PHL,PHI,1.0,0,1,20,1,1
IDN,INDONESIA,850,IDN,INS,1.0,0,1,7,1,1
TLS,EAST TIMOR,860,TLS,ETM,1.0,0,0,4,1,1
AUS,AUSTRALIA,900,AUS,AUL,1.0,0,0,105,1,1
PNG,PAPUA NEW GUINEA,910,PNG,PNG,1.0,0,0,31,1,1
NZL,NEW ZEALAND,920,NZL,NEW,1.0,0,0,149,1,1
VUT,VANUATU,935,VUT,VUT,1.0,0,0,26,1,1
SLB,SOLOMON ISLANDS,940,SLB,SLB,0.0,0,1,6,0,0
KIR,KIRIBATI,946,KIR,KIR,1.0,0,0,9,1,1
TUV,TUVALU,947,TUV,TUV,1.0,0,0,28,1,1
FJI,FIJI,950,FJI,FJI,0.0,0,1,19,0,0
TON,TONGA,955,TON,TON,0.0,0,0,36,0,0
NRU,NAURU,970,NRU,NRU,1.0,0,0,38,1,1
MHL,MARSHALL ISLANDS,983,MHL,MHL,1.0,0,0,14,1,1
PLW,PALAU,986,PLW,PLW,1.0,0,0,11,1,1
FSM,"MICRONESIA, FED.",987,FSM,FSM,1.0,0,0,14,1,1
WSM,SAMOA (WESTERN),990,WSM,WSM,0.0,0,0,44,0,0
